date,overpass_idx,pass_time_utc,pass_time_local,pass_utc_hour,pass_local_hour,solar_zenith_mean_pass,modis_lat,modis_lon,snap_distance_deg,month,gedi_lon,gedi_lat,x,y,rh50,rh75,rh98,rh100,dem,corine_class,corine_label,lulc,state,month_int,Solar_Zenith_Day,Sensor_Zenith_Day,Cloud_Fraction_Day,Cloud_Top_Height,Cloud_Top_Pressure_Day,Cloud_Top_Temperature_Day,Cloud_Effective_Emissivity_Day,Surface_Temperature,Cloud_Phase_Optical_Properties,Cloud_Phase_Infrared_1km,Cloud_Multi_Layer_Flag,Cirrus_Reflectance,Cloud_Optical_Thickness,Cloud_Optical_Thickness_16,Cloud_Effective_Radius,Cloud_Effective_Radius_16,Cloud_Water_Path,Sur_Reflectance_Red,Sur_Reflectance_NIR,Sur_Reflectance_Blue,Sur_Reflectance_Green,Sur_Reflectance_SWIR,retrieval_qc_ok
2019-05-04,0,2019-05-04T10:45:00+00:00,2019-05-04T12:45:00+02:00,10.75,12.75,40.675022,50.865,14.625,0.002943123,May 2019,14.62314351965193,50.86271794163498,4646250.0,3093750.0,15.956431,21.454306,29.214016,32.384907,700.9726,25.0,Forest and semi natural areas; forests; mixed forest,Mixed forest,Sachsen,5,35.053246,64.06361,1.0,6631.404,423.16714,-14912.2705,0.96445084,-14872.659,3.0,2.0,6.0,0.35304105,,,,,,0.6371368,1.5668973,0.6808943,0.61947906,0.22523552,False
2019-05-04,0,2019-05-04T10:45:00+00:00,2019-05-04T12:45:00+02:00,10.75,12.75,40.675022,50.865,14.635,0.0014755615,May 2019,14.636083771435066,50.86400007112799,4647150.0,3093950.0,5.648347,19.2289,28.180515,31.121494,546.705,24.0,Forest and semi natural areas; forests; coniferous forest,Coniferous forest,Sachsen,5,35.049587,64.06361,1.0,6603.8877,424.77264,-14912.077,0.9624837,-14872.638,3.0,2.0,6.0,0.35259998,,,,,,0.6369971,1.7902901,0.67817163,0.6188909,0.22452356,False
2019-05-04,0,2019-05-04T10:45:00+00:00,2019-05-04T12:45:00+02:00,10.75,12.75,40.675022,50.865,14.655,0.0018484038,May 2019,14.654876277863474,50.86684595495233,4648450.0,3094350.0,-0.11,1.12,3.89,9.62,481.05,18.0,Agricultural areas; pastures; pastures,Pastures,Sachsen,5,35.083687,63.944256,1.0,6755.169,415.57626,-14913.139,0.97316235,-14872.561,3.0,2.0,4.0,0.3446,,,,,,0.6511371,1.7902901,0.7034131,0.63501203,0.2250671,False
2019-05-04,0,2019-05-04T10:45:00+00:00,2019-05-04T12:45:00+02:00,10.75,12.75,40.675022,50.865,14.665,0.0028420035,May 2019,14.663474441681824,50.867399546641686,4649050.0,3094450.0,-0.12500001,0.84,2.82,4.355,442.87228,18.0,Agricultural areas; pastures; pastures,Pastures,Sachsen,5,35.078175,63.944252,1.0,6725.797,417.25638,-14912.931,0.97066545,-14872.53,3.0,2.0,4.0,0.3438922,,,,,,0.6532508,1.7902901,0.70205283,0.6363084,0.35605022,False
2019-05-04,0,2019-05-04T10:45:00+00:00,2019-05-04T12:45:00+02:00,10.75,12.75,40.675022,50.865,14.675,0.0037328727,May 2019,14.674999095684006,50.86873455102275,4649850.0,3094650.0,0.24497718,1.653999,8.167597,10.64076,425.8432,18.0,Agricultural areas; pastures; pastures,Pastures,Sachsen,5,35.07075,63.944256,1.0,6686.2246,419.52008,-14912.652,0.9680448,-14872.495,3.0,2.0,6.0,0.34394586,,,,,,0.6615851,1.7902901,0.70700663,0.64362437,1.1015329,False
2019-05-04,0,2019-05-04T10:45:00+00:00,2019-05-04T12:45:00+02:00,10.75,12.75,40.675022,50.865,14.685,0.005125351,May 2019,14.685106314274226,50.87012593537682,4650550.0,3094850.0,-0.11,0.86,2.84,4.19,406.83453,12.0,Agricultural areas; arable land; non-irrigated arable land,Arable land,Sachsen,5,35.0664,63.94426,1.0,6663.0103,420.84793,-14912.491,0.96584255,-14872.471,3.0,2.0,3.0,0.34529522,,,,,,0.67287534,1.7902899,0.71504194,0.6537773,2.1059036,False
2019-05-04,0,2019-05-04T10:45:00+00:00,2019-05-04T12:45:00+02:00,10.75,12.75,40.675022,50.865,14.695,0.0065182815,May 2019,14.6952141528208,50.87151643103183,4651250.0,3095050.0,0.02813982,1.25804,4.148639,6.0621285,456.1003,18.0,Agricultural areas; pastures; pastures,Pastures,Sachsen,5,35.065926,63.944256,1.0,6660.4946,420.99188,-14912.474,0.9639444,-14872.466,3.0,2.0,3.0,0.3461418,,,,,,0.6768806,1.7902902,0.71564716,0.6568548,2.3745286,False
2019-05-04,0,2019-05-04T10:45:00+00:00,2019-05-04T12:45:00+02:00,10.75,12.75,40.675022,50.875,14.625,0.0036483298,May 2019,14.62864685735848,50.87510363684275,4646550.0,3095150.0,20.254402,23.614637,27.687431,29.66743,455.472,25.0,Forest and semi natural areas; forests; mixed forest,Mixed forest,Sachsen,5,35.049587,64.06361,1.0,6604.183,424.75494,-14912.08,0.96443254,-14872.642,3.0,2.0,1.0,0.34739998,,,,,,0.62569505,0.676058,0.6679773,0.6085089,2.3745286,False
2019-05-04,0,2019-05-04T10:45:00+00:00,2019-05-04T12:45:00+02:00,10.75,12.75,40.675022,50.875,14.655,0.0028951692,May 2019,14.65399670422592,50.87228413218774,4648350.0,3094950.0,-0.14,0.78,2.7065334,3.9119997,425.56827,12.0,Agricultural areas; arable land; non-irrigated arable land,Arable land,Sachsen,5,35.08293,63.944256,1.0,6751.1357,415.80695,-14913.109,0.97237086,-14872.555,3.0,2.0,4.0,0.34359932,,,,,,0.65050006,1.7073733,0.701349,0.6340604,0.22461942,False
2019-05-04,0,2019-05-04T10:45:00+00:00,2019-05-04T12:45:00+02:00,10.75,12.75,40.675022,50.875,14.665,0.0024148303,May 2019,14.66694052949642,50.87356277951003,4649250.0,3095150.0,14.624247,21.286953,26.826311,28.847105,426.67496,24.0,Forest and semi natural areas; forests; coniferous forest,Coniferous forest,Sachsen,5,35.077736,63.944256,1.0,6723.4307,417.3918,-14912.914,0.970104,-14872.529,3.0,2.0,4.0,0.3436214,,,,,,0.6521603,1.7902902,0.7000387,0.6350541,0.2238496,False
